Sector2,Ano2,MesDesc2,textbox_MatrixRow_EnergiaConsumida2,Textbox11,
Comércio e Serviços,1987,Janeiro,0,0,
Comércio e Serviços,1987,Fevereiro,0,0,
Comércio e Serviços,1987,Março,0,0,
Comércio e Serviços,1987,Abril,0,0,
Comércio e Serviços,1987,Maio,0,0,
Comércio e Serviços,1987,Junho,0,0,
Comércio e Serviços,1987,Julho,0,0,
Comércio e Serviços,1987,Agosto,0,0,
Comércio e Serviços,1987,Setembro,0,0,
Comércio e Serviços,1987,Outubro,0,0,
Comércio e Serviços,1987,Novembro,0,0,
Comércio e Serviços,1987,Dezembro,0,0,
Comércio e Serviços,1988,Janeiro,0,0,
Comércio e Serviços,1988,Fevereiro,0,0,
Comércio e Serviços,1988,Março,0,0,
Comércio e Serviços,1988,Abril,0,0,
Comércio e Serviços,1988,Maio,0,0,
Comércio e Serviços,1988,Junho,0,0,
Comércio e Serviços,1988,Julho,0,0,
Comércio e Serviços,1988,Agosto,0,0,
Comércio e Serviços,1988,Setembro,0,0,
Comércio e Serviços,1988,Outubro,0,0,
Comércio e Serviços,1988,Novembro,0,0,
Comércio e Serviços,1988,Dezembro,0,0,
Comércio e Serviços,1989,Janeiro,0,0,
Comércio e Serviços,1989,Fevereiro,0,0,
Comércio e Serviços,1989,Março,0,0,
Comércio e Serviços,1989,Abril,0,0,
Comércio e Serviços,1989,Maio,0,0,
Comércio e Serviços,1989,Junho,0,0,
Comércio e Serviços,1989,Julho,0,0,
Comércio e Serviços,1989,Agosto,0,0,
Comércio e Serviços,1989,Setembro,0,0,
Comércio e Serviços,1989,Outubro,0,0,
Comércio e Serviços,1989,Novembro,0,0,
Comércio e Serviços,1989,Dezembro,0,0,
Comércio e Serviços,1990,Janeiro,0,0,
Comércio e Serviços,1990,Fevereiro,0,0,
Comércio e Serviços,1990,Março,0,0,
Comércio e Serviços,1990,Abril,0,0,
Comércio e Serviços,1990,Maio,0,0,
Comércio e Serviços,1990,Junho,0,0,
Comércio e Serviços,1990,Julho,0,0,
Comércio e Serviços,1990,Agosto,0,0,
Comércio e Serviços,1990,Setembro,0,0,
Comércio e Serviços,1990,Outubro,0,0,
Comércio e Serviços,1990,Novembro,0,0,
Comércio e Serviços,1990,Dezembro,0,0,
Comércio e Serviços,1991,Janeiro,4 716 754,20 309 177,
Comércio e Serviços,1991,Fevereiro,5 084 078,21 370 923,
Comércio e Serviços,1991,Março,4 543 771,19 703 630,
Comércio e Serviços,1991,Abril,4 640 752,19 930 352,
Comércio e Serviços,1991,Maio,4 664 189,20 688 617,
Comércio e Serviços,1991,Junho,4 866 547,20 675 935,
Comércio e Serviços,1991,Julho,5 373 031,21 268 660,
Comércio e Serviços,1991,Agosto,6 171 781,23 507 706,
Comércio e Serviços,1991,Setembro,6 648 066,25 420 555,
Comércio e Serviços,1991,Outubro,6 519 264,25 245 011,
Comércio e Serviços,1991,Novembro,6 196 680,24 636 325,
Comércio e Serviços,1991,Dezembro,5 764 591,23 719 731,
Comércio e Serviços,1992,Janeiro,5 862 512,24 277 500,
Comércio e Serviços,1992,Fevereiro,5 354 752,22 604 869,
Comércio e Serviços,1992,Março,5 165 057,21 539 135,
Comércio e Serviços,1992,Abril,5 586 375,23 232 935,
Comércio e Serviços,1992,Maio,6 642 316,25 052 501,
Comércio e Serviços,1992,Junho,5 279 499,23 384 236,
Comércio e Serviços,1992,Julho,6 321 833,24 148 367,
Comércio e Serviços,1992,Agosto,6 502 615,22 813 610,
Comércio e Serviços,1992,Setembro,7 464 210,26 522 880,
Comércio e Serviços,1992,Outubro,7 134 058,26 781 787,
Comércio e Serviços,1992,Novembro,5 822 453,23 633 564,
Comércio e Serviços,1992,Dezembro,6 302 457,23 879 395,
Comércio e Serviços,1993,Janeiro,6 148 518,25 735 144,
Comércio e Serviços,1993,Fevereiro,5 661 473,22 846 525,
Comércio e Serviços,1993,Março,5 795 543,23 349 923,
Comércio e Serviços,1993,Abril,5 944 811,23 174 425,
Comércio e Serviços,1993,Maio,6 084 196,23 544 420,
Comércio e Serviços,1993,Junho,6 798 304,25 466 592,
Comércio e Serviços,1993,Julho,6 946 540,24 741 865,
