Origem,Ano,MesDesc,textbox_MatrixRow_EnergiaProduzida,Textbox32,
Biogás,1987,Janeiro,0,18 531 304,
Biogás,1987,Fevereiro,0,16 882 648,
Biogás,1987,Março,0,18 228 181,
Biogás,1987,Abril,0,17 413 376,
Biogás,1987,Maio,0,18 112 306,
Biogás,1987,Junho,0,18 338 171,
Biogás,1987,Julho,0,19 712 260,
Biogás,1987,Agosto,0,20 118 442,
Biogás,1987,Setembro,0,19 564 821,
Biogás,1987,Outubro,0,19 722 815,
Biogás,1987,Novembro,0,19 595 169,
Biogás,1987,Dezembro,0,20 472 642,
Biogás,1988,Janeiro,0,20 427 299,
Biogás,1988,Fevereiro,0,18 831 177,
Biogás,1988,Março,0,20 131 383,
Biogás,1988,Abril,0,19 007 849,
Biogás,1988,Maio,0,19 821 551,
Biogás,1988,Junho,0,19 789 308,
Biogás,1988,Julho,0,21 464 834,
Biogás,1988,Agosto,0,22 257 483,
Biogás,1988,Setembro,0,21 632 678,
Biogás,1988,Outubro,0,21 673 173,
Biogás,1988,Novembro,0,21 205 159,
Biogás,1988,Dezembro,0,22 156 884,
Biogás,1989,Janeiro,0,22 290 372,
Biogás,1989,Fevereiro,0,19 995 268,
Biogás,1989,Março,0,21 851 913,
Biogás,1989,Abril,0,20 892 600,
Biogás,1989,Maio,0,21 993 953,
Biogás,1989,Junho,0,21 934 532,
Biogás,1989,Julho,0,23 383 128,
Biogás,1989,Agosto,0,23 761 244,
Biogás,1989,Setembro,0,22 929 316,
Biogás,1989,Outubro,0,23 282 182,
Biogás,1989,Novembro,0,22 534 828,
Biogás,1989,Dezembro,0,22 900 407,
Biogás,1990,Janeiro,0,24 557 867,
Biogás,1990,Fevereiro,0,21 725 272,
Biogás,1990,Março,0,23 839 695,
Biogás,1990,Abril,0,22 675 626,
Biogás,1990,Maio,0,24 672 416,
Biogás,1990,Junho,0,24 194 610,
Biogás,1990,Julho,0,26 387 745,
Biogás,1990,Agosto,0,26 311 181,
Biogás,1990,Setembro,0,25 083 554,
Biogás,1990,Outubro,0,25 482 424,
Biogás,1990,Novembro,0,24 988 465,
Biogás,1990,Dezembro,0,26 034 256,
Biogás,1991,Janeiro,0,26 502 749,
Biogás,1991,Fevereiro,0,23 810 562,
Biogás,1991,Março,0,25 524 439,
Biogás,1991,Abril,0,25 241 897,
Biogás,1991,Maio,0,25 607 722,
Biogás,1991,Junho,0,26 362 931,
Biogás,1991,Julho,0,28 344 411,
Biogás,1991,Agosto,0,28 731 923,
Biogás,1991,Setembro,0,27 570 320,
Biogás,1991,Outubro,0,28 080 228,
Biogás,1991,Novembro,0,27 310 128,
Biogás,1991,Dezembro,0,28 238 503,
Biogás,1992,Janeiro,0,28 633 330,
Biogás,1992,Fevereiro,0,26 246 283,
Biogás,1992,Março,0,27 279 175,
Biogás,1992,Abril,0,26 484 506,
Biogás,1992,Maio,0,27 406 565,
Biogás,1992,Junho,0,27 146 269,
Biogás,1992,Julho,0,29 921 685,
Biogás,1992,Agosto,0,30 444 908,
Biogás,1992,Setembro,0,29 383 862,
Biogás,1992,Outubro,0,29 568 370,
Biogás,1992,Novembro,0,29 114 417,
Biogás,1992,Dezembro,0,29 717 988,
Biogás,1993,Janeiro,0,29 442 372,
Biogás,1993,Fevereiro,0,26 543 388,
Biogás,1993,Março,0,29 225 032,
Biogás,1993,Abril,0,27 177 624,
Biogás,1993,Maio,0,28 445 083,
Biogás,1993,Junho,0,28 636 007,
Biogás,1993,Julho,0,30 867 852,
Biogás,1993,Agosto,0,31 254 747,
Biogás,1993,Setembro,0,29 980 854,
Biogás,1993,Outubro,0,29 624 709,
Biogás,1993,Novembro,0,29 063 049,
Biogás,1993,Dezembro,0,30 571 317,
Biogás,1994,Janeiro,0,29 947 286,
Biogás,1994,Fevereiro,0,27 076 901,
Biogás,1994,Março,0,29 704 628,
Biogás,1994,Abril,0,27 719 412,
