zona_geo_h,hospedes_tipo_aloj,hospedes_anos,hospedes_mes,textbox9,textbox23,textbox25,textbox27,textbox28,textbox29
Ilha de Santa Maria,Hotelaria Tradicional,2001,Janeiro,  260, 4 140, 162 211,  260, 4 140, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2001,Fevereiro,  272, 4 140, 162 211,  272, 4 140, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2001,Março,  286, 4 140, 162 211,  286, 4 140, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2001,Abril,  295, 4 140, 162 211,  295, 4 140, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2001,Maio,  269, 4 140, 162 211,  269, 4 140, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2001,Junho,  493, 4 140, 162 211,  493, 4 140, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2001,Julho,  568, 4 140, 162 211,  568, 4 140, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2001,Agosto,  674, 4 140, 162 211,  674, 4 140, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2001,Setembro,  445, 4 140, 162 211,  445, 4 140, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2001,Outubro,  195, 4 140, 162 211,  195, 4 140, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2001,Novembro,  202, 4 140, 162 211,  202, 4 140, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2001,Dezembro,  181, 4 140, 162 211,  181, 4 140, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2002,Janeiro,  195, 3 951, 162 211,  195, 3 951, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2002,Fevereiro,  247, 3 951, 162 211,  247, 3 951, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2002,Março,  268, 3 951, 162 211,  268, 3 951, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2002,Abril,  298, 3 951, 162 211,  298, 3 951, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2002,Maio,  347, 3 951, 162 211,  347, 3 951, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2002,Junho,  343, 3 951, 162 211,  343, 3 951, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2002,Julho,  511, 3 951, 162 211,  511, 3 951, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2002,Agosto,  652, 3 951, 162 211,  652, 3 951, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2002,Setembro,  371, 3 951, 162 211,  371, 3 951, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2002,Outubro,  239, 3 951, 162 211,  239, 3 951, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2002,Novembro,  291, 3 951, 162 211,  291, 3 951, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2002,Dezembro,  189, 3 951, 162 211,  189, 3 951, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2003,Janeiro,  178, 4 500, 162 211,  178, 5 984, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2003,Fevereiro,  295, 4 500, 162 211,  295, 5 984, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2003,Março,  202, 4 500, 162 211,  202, 5 984, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2003,Abril,  201, 4 500, 162 211,  201, 5 984, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2003,Maio,  352, 4 500, 162 211,  352, 5 984, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2003,Junho,  365, 4 500, 162 211,  429, 5 984, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2003,Julho,  540, 4 500, 162 211,  776, 5 984, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2003,Agosto, 1 058, 4 500, 162 211, 2 118, 5 984, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2003,Setembro,  606, 4 500, 162 211,  730, 5 984, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2003,Outubro,  257, 4 500, 162 211,  257, 5 984, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2003,Novembro,  245, 4 500, 162 211,  245, 5 984, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2003,Dezembro,  201, 4 500, 162 211,  201, 5 984, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2004,Janeiro,  229, 6 596, 162 211,  278, 8 777, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2004,Fevereiro,  279, 6 596, 162 211,  302, 8 777, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2004,Março,  583, 6 596, 162 211,  611, 8 777, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2004,Abril,  497, 6 596, 162 211,  548, 8 777, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2004,Maio,  249, 6 596, 162 211,  298, 8 777, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2004,Junho,  600, 6 596, 162 211,  668, 8 777, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2004,Julho,  824, 6 596, 162 211, 1 224, 8 777, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2004,Agosto, 1 486, 6 596, 162 211, 2 733, 8 777, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2004,Setembro, 1 037, 6 596, 162 211, 1 259, 8 777, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2004,Outubro,  432, 6 596, 162 211,  454, 8 777, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2004,Novembro,  233, 6 596, 162 211,  245, 8 777, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2004,Dezembro,  147, 6 596, 162 211,  157, 8 777, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Janeiro,  292, 7 493, 162 211,  314, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Fevereiro,  313, 7 493, 162 211,  328, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Março,  320, 7 493, 162 211,  340, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Abril,  289, 7 493, 162 211,  321, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Maio,  741, 7 493, 162 211,  779, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Junho, 1 064, 7 493, 162 211, 1 114, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Julho, 1 027, 7 493, 162 211, 1 482, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Agosto, 1 351, 7 493, 162 211, 2 820, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Setembro,  796, 7 493, 162 211,  957, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Outubro,  736, 7 493, 162 211,  749, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Novembro,  362, 7 493, 162 211,  389, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Dezembro,  202, 7 493, 162 211,  214, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Janeiro,  339, 7 400, 162 211,  348, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Fevereiro,  261, 7 400, 162 211,  264, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Março,  343, 7 400, 162 211,  357, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Abril,  627, 7 400, 162 211,  646, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Maio,  677, 7 400, 162 211,  692, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Junho,  437, 7 400, 162 211,  514, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Julho,  714, 7 400, 162 211,  998, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Agosto, 1 292, 7 400, 162 211, 2 289, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Setembro, 1 107, 7 400, 162 211, 1 295, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Outubro,  789, 7 400, 162 211,  816, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Novembro,  402, 7 400, 162 211,  419, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Dezembro,  412, 7 400, 162 211,  420, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Janeiro,  445, 9 100, 162 211,  456, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Fevereiro,  234, 9 100, 162 211,  242, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Março,  443, 9 100, 162 211,  465, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Abril,  738, 9 100, 162 211,  744, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Maio,  815, 9 100, 162 211,  831, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Junho,  963, 9 100, 162 211, 1 096, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Julho, 1 272, 9 100, 162 211, 1 634, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Agosto, 1 794, 9 100, 162 211, 3 410, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Setembro,  963, 9 100, 162 211, 1 120, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Outubro,  706, 9 100, 162 211,  728, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Novembro,  463, 9 100, 162 211,  464, 11 468, 221 409
