distrito,TipoVoo,Ano,MesDesc,textbox_MatrixRow_CargaEmb,textbox_MatrixRow_CargaEmb2,textbox_MatrixRow_CargaEmb5,TipoVoo1,textbox_MatrixRow_CargaEmb3,textbox_MatrixRow_CargaEmb4,textbox_MatrixRow_CargaEmb6
Santa Maria,InterIlhas,1986,Janeiro, 1 036,  979,  0,,,,
Santa Maria,InterIlhas,1986,Fevereiro,  753,  705,  0,,,,
Santa Maria,InterIlhas,1986,Março,  967, 1 051,  0,,,,
Santa Maria,InterIlhas,1986,Abril, 1 201, 1 072,  0,,,,
Santa Maria,InterIlhas,1986,Maio, 1 124, 1 174,  0,,,,
Santa Maria,InterIlhas,1986,Junho, 1 107, 1 147,  16,,,,
Santa Maria,InterIlhas,1986,Julho, 1 671, 2 003,  86,,,,
Santa Maria,InterIlhas,1986,Agosto, 2 199, 2 122,  0,,,,
Santa Maria,InterIlhas,1986,Setembro, 1 560, 1 305,  0,,,,
Santa Maria,InterIlhas,1986,Outubro, 1 176, 1 213,  0,,,,
Santa Maria,InterIlhas,1986,Novembro,  943,  947,  0,,,,
Santa Maria,InterIlhas,1986,Dezembro,  999, 1 072,  0,,,,
Santa Maria,InterIlhas,1987,Janeiro,  969,  902,  0,,,,
Santa Maria,InterIlhas,1987,Fevereiro,  959,  972,  0,,,,
Santa Maria,InterIlhas,1987,Março,  998,  892,  0,,,,
Santa Maria,InterIlhas,1987,Abril, 1 378, 1 804,  0,,,,
Santa Maria,InterIlhas,1987,Maio, 1 073, 1 122,  66,,,,
Santa Maria,InterIlhas,1987,Junho, 1 593, 1 479,  116,,,,
Santa Maria,InterIlhas,1987,Julho, 1 816, 2 077,  16,,,,
Santa Maria,InterIlhas,1987,Agosto, 2 505, 2 297,  27,,,,
Santa Maria,InterIlhas,1987,Setembro, 1 820, 2 786,  0,,,,
Santa Maria,InterIlhas,1987,Outubro, 1 354, 1 303,  0,,,,
Santa Maria,InterIlhas,1987,Novembro, 1 080, 1 091,  0,,,,
Santa Maria,InterIlhas,1987,Dezembro, 1 147, 1 093,  80,,,,
Santa Maria,InterIlhas,1988,Janeiro, 1 064, 1 076,  0,,,,
Santa Maria,InterIlhas,1988,Fevereiro,  935,  941,  0,,,,
Santa Maria,InterIlhas,1988,Março, 1 124, 1 093,  0,,,,
Santa Maria,InterIlhas,1988,Abril, 1 405, 1 433,  42,,,,
Santa Maria,InterIlhas,1988,Maio, 1 327, 1 345,  9,,,,
Santa Maria,InterIlhas,1988,Junho, 1 624, 1 731,  19,,,,
Santa Maria,InterIlhas,1988,Julho, 1 854, 2 246,  14,,,,
Santa Maria,InterIlhas,1988,Agosto, 2 641, 2 480,  0,,,,
Santa Maria,InterIlhas,1988,Setembro, 2 001, 1 676,  5,,,,
Santa Maria,InterIlhas,1988,Outubro, 1 160, 1 147,  0,,,,
Santa Maria,InterIlhas,1988,Novembro, 1 058, 1 031,  25,,,,
Santa Maria,InterIlhas,1988,Dezembro, 1 114, 1 173,  0,,,,
Santa Maria,InterIlhas,1989,Janeiro, 1 196, 1 169,  0,,,,
Santa Maria,InterIlhas,1989,Fevereiro, 1 169, 1 129,  0,,,,
Santa Maria,InterIlhas,1989,Março, 1 489, 1 273,  0,,,,
Santa Maria,InterIlhas,1989,Abril, 1 529, 1 417,  0,,,,
Santa Maria,InterIlhas,1989,Maio, 1 366, 1 475,  0,,,,
Santa Maria,InterIlhas,1989,Junho, 1 595, 1 775,  0,,,,
Santa Maria,InterIlhas,1989,Julho, 1 960, 2 424,  0,,,,
Santa Maria,InterIlhas,1989,Agosto, 2 809, 2 912,  0,,,,
Santa Maria,InterIlhas,1989,Setembro, 2 461, 1 829,  0,,,,
Santa Maria,InterIlhas,1989,Outubro, 1 401, 1 218,  0,,,,
Santa Maria,InterIlhas,1989,Novembro, 1 101, 1 155,  0,,,,
Santa Maria,InterIlhas,1989,Dezembro,  933, 1 059,  0,,,,
Santa Maria,InterIlhas,1990,Janeiro, 1 257, 1 222,  0,,,,
Santa Maria,InterIlhas,1990,Fevereiro, 1 018, 1 142,  0,,,,
Santa Maria,InterIlhas,1990,Março, 1 245, 1 181,  29,,,,
Santa Maria,InterIlhas,1990,Abril, 1 498, 1 482,  49,,,,
Santa Maria,InterIlhas,1990,Maio, 1 298, 1 362,  75,,,,
Santa Maria,InterIlhas,1990,Junho, 1 616, 1 675,  18,,,,
Santa Maria,InterIlhas,1990,Julho, 1 900, 2 136,  0,,,,
Santa Maria,InterIlhas,1990,Agosto, 2 608, 2 455,  42,,,,
Santa Maria,InterIlhas,1990,Setembro, 1 889, 1 468,  12,,,,
Santa Maria,InterIlhas,1990,Outubro, 1 197, 1 180,  0,,,,
Santa Maria,InterIlhas,1990,Novembro, 1 132, 1 134,  0,,,,
Santa Maria,InterIlhas,1990,Dezembro, 1 122, 1 284,  59,,,,
Santa Maria,InterIlhas,1991,Janeiro,  0,  0,  0,,,,
Santa Maria,InterIlhas,1991,Fevereiro,  973,  975,  0,,,,
Santa Maria,InterIlhas,1991,Março, 1 359, 1 356,  0,,,,
Santa Maria,InterIlhas,1991,Abril, 1 349, 1 274,  0,,,,
Santa Maria,InterIlhas,1991,Maio, 1 222, 1 333,  0,,,,
Santa Maria,InterIlhas,1991,Junho, 1 550, 1 537,  45,,,,
Santa Maria,InterIlhas,1991,Julho, 1 766, 2 183,  0,,,,
Santa Maria,InterIlhas,1991,Agosto, 2 503, 2 405,  0,,,,
Santa Maria,InterIlhas,1991,Setembro, 1 628, 1 458,  0,,,,
